Iteration	Posterior	Likelihood	Prior	beta_categories[1]	beta_categories[2]	beta_categories[3]	beta_categories[4]	beta_scale	br_lengths[1]	br_lengths[2]	br_lengths[3]	br_lengths[4]	br_lengths[5]	br_lengths[6]	br_lengths[7]	br_lengths[8]	br_lengths[9]	br_lengths[10]	br_lengths[11]	br_lengths[12]	br_lengths[13]	br_lengths[14]	br_lengths[15]	br_lengths[16]	br_lengths[17]	br_lengths[18]	br_lengths[19]	br_lengths[20]	br_lengths[21]	br_lengths[22]	br_lengths[23]	br_lengths[24]	br_lengths[25]	br_lengths[26]	br_lengths[27]	br_lengths[28]	br_lengths[29]	br_lengths[30]	br_lengths[31]	br_lengths[32]	br_lengths[33]	br_lengths[34]	br_lengths[35]	br_lengths[36]	br_lengths[37]	br_lengths[38]	br_lengths[39]	br_lengths[40]	br_lengths[41]	br_lengths[42]	br_lengths[43]	br_lengths[44]	br_lengths[45]	br_lengths[46]	br_lengths[47]	br_lengths[48]	br_lengths[49]	br_lengths[50]	br_lengths[51]	matrix_probs[1]	matrix_probs[2]	matrix_probs[3]	matrix_probs[4]	rate_categories[1]	rate_categories[2]	rate_categories[3]	rate_categories[4]	rate_categories[5]	rate_categories[6]	rate_log_sd	rel_br_lengths[1]	rel_br_lengths[2]	rel_br_lengths[3]	rel_br_lengths[4]	rel_br_lengths[5]	rel_br_lengths[6]	rel_br_lengths[7]	rel_br_lengths[8]	rel_br_lengths[9]	rel_br_lengths[10]	rel_br_lengths[11]	rel_br_lengths[12]	rel_br_lengths[13]	rel_br_lengths[14]	rel_br_lengths[15]	rel_br_lengths[16]	rel_br_lengths[17]	rel_br_lengths[18]	rel_br_lengths[19]	rel_br_lengths[20]	rel_br_lengths[21]	rel_br_lengths[22]	rel_br_lengths[23]	rel_br_lengths[24]	rel_br_lengths[25]	rel_br_lengths[26]	rel_br_lengths[27]	rel_br_lengths[28]	rel_br_lengths[29]	rel_br_lengths[30]	rel_br_lengths[31]	rel_br_lengths[32]	rel_br_lengths[33]	rel_br_lengths[34]	rel_br_lengths[35]	rel_br_lengths[36]	rel_br_lengths[37]	rel_br_lengths[38]	rel_br_lengths[39]	rel_br_lengths[40]	rel_br_lengths[41]	rel_br_lengths[42]	rel_br_lengths[43]	rel_br_lengths[44]	rel_br_lengths[45]	rel_br_lengths[46]	rel_br_lengths[47]	rel_br_lengths[48]	rel_br_lengths[49]	rel_br_lengths[50]	rel_br_lengths[51]	tree_length
0	-2357.678	-2427.701	70.02259	0.259146	0.432706	0.567295	0.740854	3.092963	0.153527	0.118144	0.0428742	0.056887	0.0921757	0.200418	0.0448273	0.0331037	0.0795817	0.044599	0.090303	0.111588	0.0413785	0.0324103	0.00966945	0.0205904	0.0173944	0.0731629	0.0320787	0.0579312	0.0158244	0.0313719	0.0155089	0.00180157	0.024515	0.0179043	0.00489039	0.0741105	0.0846599	0.064918	0.0204055	0.00617211	0.0192341	0.0174136	0.000246366	0.392936	0.0101599	0.0185211	0.273721	0.0091593	0.0223103	0.0541092	0.0451335	0.00067424	0.057705	0.03188	0.0115018	0.03101	0.0248311	0.00996725	0.063366	0.244229	0.303927	0.0979687	0.353875	0.181937	0.435574	0.771603	1.296	2.29582	5.49641	1.232178	0.0546629	0.0420651	0.0152653	0.0202545	0.032819	0.0713586	0.0159607	0.0117865	0.0283349	0.0158794	0.0321522	0.0397307	0.0147328	0.0115396	0.00344279	0.00733118	0.00619325	0.0260495	0.0114216	0.0206263	0.00563426	0.0111699	0.00552193	0.000641447	0.00872852	0.0063748	0.00174122	0.0263869	0.030143	0.023114	0.00726534	0.00219757	0.00684825	0.00620007	8.77183e-05	0.139904	0.00361742	0.00659442	0.097458	0.00326115	0.00794353	0.0192655	0.0160697	0.000240062	0.0205458	0.0113508	0.0040952	0.011041	0.00884106	0.00354882	0.0225614	2.808608
36	-2358.287	-2428.308	70.02097	0.165914	0.396269	0.603731	0.834086	1.39242	0.223367	0.0799331	0.0479069	0.141935	0.193234	0.201364	0.0815256	0.00409913	0.0769685	0.0360342	0.0630617	0.241058	0.0437288	0.049408	0.00441064	0.0314203	0.0255158	0.0793519	0.0518798	0.0472965	0.0164277	0.0143086	0.016804	0.0163218	0.0312607	0.00063655	0.00599541	0.0122692	0.00534084	0.00248033	0.0118492	0.0211901	0.0512833	0.0415964	0.0631224	0.0151274	0.0432669	0.0594631	0.101314	0.402603	0.00300454	0.0479941	0.0734248	0.085725	0.0721427	0.00317251	0.0348822	0.121401	0.372456	0.00737127	0.01618	0.190896	0.15163	0.536462	0.121013	0.165242	0.4156	0.760385	1.31512	2.40616	6.05174	1.301774	0.0639302	0.0228778	0.0137115	0.0406235	0.0553059	0.0576328	0.0233336	0.00117322	0.0220293	0.0103134	0.018049	0.0689937	0.0125157	0.0141412	0.00126238	0.00899287	0.00730293	0.0227115	0.0148486	0.0135368	0.0047018	0.0040953	0.0048095	0.00467148	0.00894719	0.000182188	0.00171596	0.00351161	0.00152861	0.000709899	0.00339138	0.00606486	0.0146779	0.0119054	0.0180664	0.00432963	0.0123835	0.017019	0.0289974	0.11523	0.000859935	0.0137365	0.0210151	0.0245355	0.0206481	0.000908011	0.00998371	0.0347465	0.106601	0.00210975	0.00463092	3.493913
72	-2363.284	-2435.555	72.27065	0.197628	0.410066	0.589934	0.802371	1.803483	0.089955	0.0643627	0.00639679	0.0503567	0.0831021	0.120265	0.0229935	0.00657939	0.0212342	0.0198151	0.071469	0.129979	0.0254337	0.00893976	0.00819229	0.0164154	0.00677609	0.0384818	0.0131409	0.010539	0.00952779	0.0115168	0.00417367	0.00297083	0.0111695	0.00399197	0.00311771	0.0159436	0.00042863	0.00367344	0.00466936	0.0116361	0.0583496	0.0100499	0.00300482	0.00659349	0.0156093	0.0248755	0.0383334	0.155041	0.0380228	0.0108804	0.0566941	0.029296	0.0184552	0.0114188	0.00627543	0.0277785	0.14922	0.00622444	0.0203838	0.416932	0.103683	0.411464	0.067921	0.0906102	0.310036	0.693953	1.44102	3.22543	11.0363	1.736225	0.0567986	0.0406393	0.004039	0.0317958	0.0524716	0.0759366	0.0145184	0.0041543	0.0134075	0.0125114	0.0451264	0.0820702	0.0160591	0.00564466	0.0051727	0.0103648	0.0042785	0.0242978	0.00829729	0.00665443	0.00601595	0.00727186	0.0026353	0.00187582	0.00705256	0.00252058	0.00196856	0.0100669	0.000270642	0.00231945	0.00294829	0.00734718	0.0368426	0.00634563	0.00189728	0.0041632	0.00985592	0.0157066	0.0242041	0.0978948	0.024008	0.00687	0.0357973	0.0184978	0.0116528	0.00720998	0.00396238	0.0175397	0.0942194	0.00393018	0.0128706	1.583754
108	-2362.721	-2435.627	72.90606	0.113765	0.368186	0.631814	0.886235	0.9112888	0.0998567	0.0995812	0.0251165	0.0328506	0.0259142	0.0941489	0.0479295	0.00322239	0.0385522	0.0233894	0.0500323	0.149706	0.0123109	0.010492	0.00815468	0.00982718	0.0133806	0.0413455	0.0283552	0.0128158	0.00751415	0.0194203	0.00926608	0.0100403	0.011272	0.00324424	0.00119537	0.00413512	0.00316695	0.00150447	0.005528	0.00750033	0.00706023	0.0184876	0.00507774	0.00550985	0.00925806	0.0243331	0.00639974	0.14707	0.00951394	0.0102392	0.023035	0.0330197	0.0345242	0.0226296	0.00761952	0.0130367	0.171849	0.00133801	0.0219726	0.133947	0.25457	0.498343	0.11314	0.0593298	0.252187	0.650651	1.53692	3.96532	16.8549	2.042412	0.0673459	0.0671601	0.0169392	0.0221553	0.0174772	0.0634964	0.0323249	0.00217326	0.0260006	0.0157744	0.0337431	0.100966	0.00830277	0.00707608	0.00549973	0.00662771	0.00902423	0.0278844	0.0191235	0.0086433	0.00506774	0.0130976	0.00624929	0.00677142	0.00760215	0.002188	0.000806186	0.00278883	0.00213587	0.00101465	0.00372823	0.00505841	0.0047616	0.0124685	0.00342456	0.00371598	0.00624387	0.0164109	0.00431615	0.0991876	0.00641644	0.00690561	0.0155354	0.0222693	0.023284	0.015262	0.0051388	0.00879231	0.1159	0.00090239	0.0148189	1.482743
144	-2358.618	-2430.189	71.57121	0.174981	0.400408	0.599591	0.825019	1.498343	0.176119	0.114285	0.0555139	0.0694854	0.0383876	0.226873	0.0980059	0.00660778	0.0468546	0.0469765	0.0539994	0.102826	0.0142065	0.0383067	0.00366263	0.0220541	0.016172	0.0553722	0.0232188	0.048826	0.0154186	0.0152096	0.0127899	0.00315422	0.0263679	0.0035431	0.00342921	0.0895198	0.0444387	0.00137825	0.0331638	0.00943179	0.0862548	0.0241895	0.000519499	0.228917	0.00796439	0.0266605	0.148554	0.0722456	0.0151993	0.0280006	0.0270289	0.00638503	0.0497452	0.0487429	0.0334593	0.073681	0.0371599	0.00929188	0.0329462	0.268946	0.000298148	0.546553	0.184203	0.153377	0.400768	0.751813	1.33012	2.49521	6.51989	1.355651	0.07123	0.0462216	0.0224521	0.0281028	0.0155255	0.0917567	0.0396377	0.00267246	0.01895	0.0189993	0.0218396	0.0415873	0.00574572	0.0154928	0.00148132	0.00891961	0.00654065	0.0223948	0.00939066	0.0197473	0.0062359	0.00615139	0.00517278	0.0012757	0.0106643	0.00143298	0.00138692	0.0362055	0.0179729	0.00055742	0.0134128	0.00381461	0.034885	0.00978325	0.000210107	0.0925837	0.00322113	0.0107826	0.0600816	0.0292191	0.00614723	0.0113246	0.0109316	0.00258237	0.020119	0.0197137	0.0135323	0.0297997	0.015029	0.00375802	0.0133248	2.472545
180	-2362.985	-2434.772	71.78645	0.206944	0.413795	0.586204	0.793056	1.949138	0.134698	0.120188	0.0211165	0.0550732	0.0549759	0.0820247	0.103765	0.0133728	0.038886	0.0172885	0.0487191	0.0640042	0.0216333	0.0326887	0.0126045	0.0180973	0.0096921	0.0486861	0.0239512	0.0281021	0.0170729	0.0296594	0.0105755	0.00999566	0.0167324	0.0104704	0.00751875	0.00585737	0.104959	0.00163631	0.026281	0.00861888	0.0273066	0.0195833	0.00292564	0.287295	0.00771646	0.025758	0.11919	0.0221879	0.0196469	0.0205937	0.021864	0.00297441	0.0514111	0.0123852	0.00534045	0.0294662	0.0113464	0.0097803	0.0298829	0.337755	0.00765493	0.51679	0.1378	0.106537	0.335513	0.711263	1.40595	2.98051	9.3864	1.619141	0.069951	0.062416	0.0109662	0.0286006	0.02855	0.042597	0.0538871	0.00694475	0.0201943	0.00897824	0.0253007	0.0332386	0.0112346	0.0169759	0.00654577	0.00939827	0.00503329	0.0252836	0.0124383	0.014594	0.00886627	0.0154027	0.00549204	0.00519094	0.00868948	0.00543747	0.00390463	0.00304184	0.0545072	0.000849767	0.0136482	0.00447595	0.0141808	0.01017	0.00151934	0.149198	0.00400731	0.0133766	0.0618974	0.0115226	0.010203	0.0106947	0.0113544	0.00154467	0.0266988	0.00643189	0.0027734	0.0153024	0.00589238	0.0050791	0.0155187	1.925599
216	-2359.097	-2429.108	70.01112	0.245163	0.427925	0.572076	0.754836	2.718063	0.166326	0.0735796	0.0637183	0.0660537	0.0843687	0.142929	0.0523693	0.0150122	0.0967508	0.0401377	0.080403	0.103345	0.0239623	0.0465955	0.0106139	0.0460567	0.023409	0.130413	0.0306425	0.06135	0.0298468	0.0530628	0.0223125	0.00272736	0.0184985	0.0245288	0.0130555	0.045933	0.156584	0.0070113	0.0236386	0.00813326	0.0558235	0.0317375	0.00387277	0.371603	0.019708	0.0394831	0.265114	0.021655	0.0457833	0.0574621	0.0555937	0.0054516	0.0266784	0.00950313	0.00526536	0.0609537	0.0928775	0.0150552	0.0277371	0.265743	0.00258312	0.592065	0.139608	0.190811	0.445808	0.777214	1.28665	2.24312	5.2408	1.197745	0.0559131	0.0247349	0.0214199	0.022205	0.0283618	0.0480477	0.0176047	0.00504659	0.0325243	0.0134929	0.0270287	0.0347409	0.00805528	0.0156638	0.00356804	0.0154827	0.00786928	0.0438403	0.010301	0.0206238	0.0100335	0.0178379	0.00750069	0.000916845	0.00621855	0.00824574	0.0043888	0.0154411	0.0526382	0.00235696	0.00794648	0.00273412	0.0187659	0.010669	0.00130189	0.12492	0.00662515	0.0132728	0.0891222	0.00727966	0.0153908	0.0193168	0.0186887	0.00183264	0.00896837	0.00319463	0.00177003	0.0204905	0.0312222	0.00506102	0.00932425	2.974725
252	-2358.769	-2429.295	70.52685	0.101971	0.360422	0.639578	0.898029	0.8248624	0.251771	0.176249	0.0682165	0.158021	0.107994	0.171119	0.0729273	0.0114896	0.0878607	0.0220293	0.0746659	0.239892	0.0412615	0.035164	0.00593166	0.0717172	0.0214649	0.0796382	0.0215446	0.043192	0.0244712	0.0278572	0.0164396	0.0778838	0.0231365	0.0201679	0.0072433	0.0226076	0.00336566	0.00812323	0.0131635	0.0190692	0.020238	0.0311139	0.00240205	0.0263805	0.00655998	0.0147173	0.0353437	0.212563	0.113975	0.0644579	0.17619	0.0312301	0.034997	0.0687296	0.0192428	0.0777077	0.401505	0.0135672	0.0612222	0.0748477	0.251898	0.582012	0.091242	0.136159	0.378157	0.738315	1.35444	2.64441	7.34436	1.441751	0.0732357	0.0512676	0.0198429	0.0459654	0.0314134	0.0497753	0.0212132	0.00334213	0.0255571	0.00640791	0.021719	0.0697802	0.0120022	0.0102286	0.00172541	0.0208612	0.00624377	0.0231653	0.00626693	0.0125638	0.00711823	0.00810317	0.00478199	0.022655	0.00672998	0.00586648	0.00210695	0.00657616	0.00097901	0.0023629	0.00382903	0.00554688	0.00588686	0.00905049	0.000698713	0.00767361	0.00190818	0.004281	0.0102808	0.0618308	0.0331533	0.0187497	0.0512504	0.00908427	0.01018	0.0199922	0.00559738	0.0226038	0.116791	0.00394647	0.0178084	3.437819
288	-2358.537	-2429.834	71.29724	0.194017	0.408584	0.591416	0.805983	1.750437	0.167093	0.0666281	0.0656757	0.115497	0.0708238	0.0950589	0.0537187	0.0377057	0.0600742	0.0551889	0.0571429	0.195684	0.0220823	0.0160524	0.0086363	0.0524852	0.0106607	0.0332691	0.0288925	0.050629	0.0200129	0.0141483	0.00276061	0.00711816	0.0233092	0.00833499	0.00907034	0.0212407	0.000761635	0.00163233	0.0148797	0.022747	0.00565902	0.0139798	0.0108306	0.0125518	0.0149641	0.0261947	0.0575356	0.176443	0.0331651	0.0612654	0.0802848	0.0111995	0.0379425	0.0492948	0.0264683	0.0386806	0.284838	0.0285411	0.0197904	0.128189	0.299295	0.380981	0.191535	0.119313	0.354567	0.723626	1.38193	2.82034	8.38133	1.53725	0.0696614	0.0277774	0.0273804	0.0481509	0.0295266	0.0396303	0.0223955	0.0157196	0.0250451	0.0230084	0.023823	0.081581	0.00920617	0.00669229	0.0036005	0.0218812	0.00444446	0.01387	0.0120454	0.0211073	0.00834343	0.00589847	0.0011509	0.00296758	0.00971764	0.00347488	0.00378145	0.00885529	0.000317527	0.000680522	0.00620337	0.0094833	0.00235926	0.00582822	0.0045153	0.00523289	0.00623858	0.0109206	0.0239867	0.0735593	0.0138266	0.0255417	0.0334709	0.00466908	0.0158183	0.0205511	0.0110347	0.0161261	0.11875	0.0118989	0.00825065	2.398643
324	-2350.886	-2423.477	72.59042	0.165512	0.396082	0.603918	0.834489	1.387908	0.111797	0.0630463	0.0334611	0.039079	0.0400931	0.104351	0.0203534	0.0255826	0.0379011	0.00510329	0.0314558	0.137572	0.0130245	0.0242252	0.00886078	0.0138705	0.0114337	0.0346003	0.0201198	0.021805	0.0125166	0.0127595	0.00859812	0.00120374	0.00968441	0.00446257	0.00336301	0.00308697	0.0216524	0.0027569	0.0127324	0.00258214	0.0317649	0.0640799	0.0354295	0.00848135	0.00780984	0.0062444	0.00125174	0.0139169	0.00577358	0.0318799	0.0224896	0.0126236	0.00133309	0.13179	0.24606	0.00548362	0.0219666	0.0114881	0.0321108	0.21429	0.21862	0.389021	0.178069	0.0872462	0.304368	0.68997	1.44934	3.28549	11.4618	1.76358	0.0705292	0.0397741	0.0211096	0.0246538	0.0252936	0.065832	0.0128404	0.0161393	0.0239107	0.00321951	0.0198445	0.0867899	0.00821676	0.015283	0.00559001	0.00875052	0.00721319	0.0218283	0.012693	0.0137561	0.00789636	0.00804957	0.00542431	0.000759404	0.00610961	0.0028153	0.00212162	0.00194748	0.0136599	0.00173925	0.00803252	0.001629	0.0200395	0.0404261	0.0223515	0.00535063	0.004927	0.00393941	0.000789685	0.00877974	0.00364238	0.0201121	0.014188	0.00796383	0.000841005	0.0831424	0.155232	0.00345946	0.0138581	0.00724754	0.0202577	1.585111
